iter	RMSE
0	0.4709662028
1	0.4592797642
2	0.4479648126
3	0.4361656706
4	0.4241108577
5	0.4135986009
6	0.4037297884
7	0.394065066
8	0.3854722313
9	0.3766072751
10	0.3676351306
11	0.3586815596
12	0.3512218242
13	0.3431264785
14	0.3353177344
15	0.327578514
16	0.3204312507
17	0.3128048077
18	0.305877206
19	0.2992083187
20	0.2933609698
21	0.2874771576
22	0.2822862243
23	0.2769347307
24	0.2714114921
25	0.265881468
26	0.2602340242
27	0.2559101142
28	0.2509811115
29	0.2463696675
30	0.2414305224
31	0.237058152
32	0.2323544652
33	0.2282882895
34	0.224677959
35	0.2207224077
36	0.2173514864
37	0.2138881046
38	0.2103380316
39	0.2064422539
40	0.2026662374
41	0.1992380766
42	0.1961857849
43	0.1936663469
44	0.1905703547
45	0.1874732638
46	0.1847089883
47	0.1818498348
48	0.1789507569
49	0.1765823944
50	0.1741258459
51	0.1714844865
52	0.1696351526
53	0.1674811921
54	0.1652078602
55	0.1633361023
56	0.1615527077
57	0.1596152206
58	0.1574913919
59	0.1554177729
60	0.1534656544
61	0.151795655
62	0.1501319558
63	0.1486248998
64	0.1468843841
65	0.1457626038
66	0.1439399828
67	0.1425722257
68	0.1409212395
69	0.139851
70	0.1385966912
71	0.1374585368
72	0.1362680848
73	0.1347822028
74	0.13313911
75	0.1319016633
76	0.1307108999
77	0.1293740945
78	0.1281985421
79	0.1268932424
80	0.1257972809
81	0.1247420618
82	0.1235501346
83	0.1221432292
84	0.121383288
85	0.120294112
86	0.1191439337
87	0.118257641
88	0.1173093494
89	0.1167626599
90	0.1161199178
91	0.1149892291
92	0.1140580351
93	0.1134244548
94	0.1124167047
95	0.1118834377
96	0.1112481991
97	0.1106706953
98	0.1098133151
99	0.1088534413
100	0.1079733292
101	0.1069314714
102	0.1061474415
103	0.1053403726
104	0.1045623001
105	0.103741569
106	0.1029660106
107	0.1021931827
108	0.1018228626
109	0.1011990341
110	0.1005936187
111	0.1001955154
112	0.09955119025
